"id","series_id","period","value","footnote"
73,1677,"2006-01-01",135401,""
74,1677,"2006-02-01",135716,""
75,1677,"2006-03-01",135997,""
76,1677,"2006-04-01",136179,""
77,1677,"2006-05-01",136203,""
78,1677,"2006-06-01",136280,""
79,1677,"2006-07-01",136486,""
80,1677,"2006-08-01",136671,""
81,1677,"2006-09-01",136827,""
82,1677,"2006-10-01",136830,""
83,1677,"2006-11-01",137039,""
84,1677,"2006-12-01",137211,""
85,1677,"2007-01-01",137448,""
86,1677,"2007-02-01",137536,""
87,1677,"2007-03-01",137724,""
88,1677,"2007-04-01",137802,""
89,1677,"2007-05-01",137947,""
90,1677,"2007-06-01",138018,""
91,1677,"2007-07-01",137984,""
92,1677,"2007-08-01",137967,""
93,1677,"2007-09-01",138053,""
94,1677,"2007-10-01",138136,""
95,1677,"2007-11-01",138253,""
96,1677,"2007-12-01",138350,""
256,1671,"2006-01-01",113554,""
257,1671,"2006-02-01",113838,""
258,1671,"2006-03-01",114094,""
259,1671,"2006-04-01",114260,""
260,1671,"2006-05-01",114277,""
261,1671,"2006-06-01",114358,""
262,1671,"2006-07-01",114513,""
263,1671,"2006-08-01",114660,""
264,1671,"2006-09-01",114745,""
265,1671,"2006-10-01",114762,""
266,1671,"2006-11-01",114956,""
267,1671,"2006-12-01",115123,""
268,1671,"2007-01-01",115353,""
269,1671,"2007-02-01",115405,""
270,1671,"2007-03-01",115575,""
271,1671,"2007-04-01",115627,""
272,1671,"2007-05-01",115754,""
273,1671,"2007-06-01",115811,""
274,1671,"2007-07-01",115813,""
275,1671,"2007-08-01",115741,""
276,1671,"2007-09-01",115774,""
277,1671,"2007-10-01",115839,""
278,1671,"2007-11-01",115919,""
279,1671,"2007-12-01",115974,""
367,1670,"2006-03-01",34.4,""
368,1670,"2006-04-01",34.6,""
369,1670,"2006-05-01",34.5,""
370,1670,"2006-06-01",34.6,""
371,1670,"2006-07-01",34.5,""
372,1670,"2006-08-01",34.5,""
373,1670,"2006-09-01",34.5,""
374,1670,"2006-10-01",34.5,""
375,1670,"2006-11-01",34.5,""
376,1670,"2006-12-01",34.7,""
377,1670,"2007-01-01",34.5,""
378,1670,"2007-02-01",34.5,""
379,1670,"2007-03-01",34.6,""
380,1670,"2007-04-01",34.5,""
381,1670,"2007-05-01",34.6,""
382,1670,"2007-06-01",34.6,""
383,1670,"2007-07-01",34.6,""
384,1670,"2007-08-01",34.6,""
385,1670,"2007-09-01",34.6,""
386,1670,"2007-10-01",34.5,""
387,1670,"2007-11-01",34.5,""
388,1670,"2007-12-01",34.6,""
476,1669,"2006-03-01",20.05,""
477,1669,"2006-04-01",20.16,""
478,1669,"2006-05-01",20.13,""
479,1669,"2006-06-01",20.23,""
480,1669,"2006-07-01",20.3,""
481,1669,"2006-08-01",20.32,""
482,1669,"2006-09-01",20.41,""
483,1669,"2006-10-01",20.44,""
484,1669,"2006-11-01",20.48,""
485,1669,"2006-12-01",20.57,""
486,1669,"2007-01-01",20.6,""
487,1669,"2007-02-01",20.68,""
488,1669,"2007-03-01",20.77,""
489,1669,"2007-04-01",20.82,""
490,1669,"2007-05-01",20.88,""
491,1669,"2007-06-01",21,""
492,1669,"2007-07-01",21,""
493,1669,"2007-08-01",21.03,""
494,1669,"2007-09-01",21.08,""
495,1669,"2007-10-01",21.11,""
496,1669,"2007-11-01",21.15,""
497,1669,"2007-12-01",21.22,""
585,1653,"2006-03-01",345.38,""
586,1653,"2006-04-01",347.55,""
587,1653,"2006-05-01",345,""
588,1653,"2006-06-01",346.86,""
589,1653,"2006-07-01",345.17,""
590,1653,"2006-08-01",343.98,""
591,1653,"2006-09-01",347.21,""
592,1653,"2006-10-01",349.27,""
593,1653,"2006-11-01",349.78,""
594,1653,"2006-12-01",351.44,""
595,1653,"2007-01-01",349.35,""
596,1653,"2007-02-01",349.35,""
597,1653,"2007-03-01",350.06,""
598,1653,"2007-04-01",348.85,""
599,1653,"2007-05-01",349.42,""
600,1653,"2007-06-01",350.62,""
601,1653,"2007-07-01",349.99,""
602,1653,"2007-08-01",350.39,""
603,1653,"2007-09-01",349.74,""
604,1653,"2007-10-01",348.15,""
605,1653,"2007-11-01",346.09,""
606,1653,"2007-12-01",347.23,""
693,1654,"2006-03-01",10.04,""
694,1654,"2006-04-01",10.04,""
695,1654,"2006-05-01",10,""
696,1654,"2006-06-01",10.02,""
697,1654,"2006-07-01",10,""
698,1654,"2006-08-01",9.97,""
699,1654,"2006-09-01",10.06,""
700,1654,"2006-10-01",10.12,""
701,1654,"2006-11-01",10.14,""
702,1654,"2006-12-01",10.13,""
703,1654,"2007-01-01",10.13,""
704,1654,"2007-02-01",10.13,""
705,1654,"2007-03-01",10.12,""
706,1654,"2007-04-01",10.11,""
707,1654,"2007-05-01",10.1,""
708,1654,"2007-06-01",10.13,""
709,1654,"2007-07-01",10.12,""
710,1654,"2007-08-01",10.13,""
