"id","blsid","title","source","is_primary","is_delta","is_adjusted","delta_id"
1613,"LNS12300000","Employment-Population Ratio","CPS",t,f,f,1686
1615,"LNS12600000","Employed, Usually Work Part Time","CPS",t,f,f,1688
1616,"LNU02036012","Employment Level, Nonag. Industries, With a Job not at Work, Bad Weather","CPS",t,f,f,1689
1617,"LNS14027689","Unemployment Rate - 25 Years & Over, Some College or Associate Degree","CPS",t,f,f,1690
1618,"LNS13327709","Alternative measure of labor underutilization U-6","CPS",t,f,f,1691
1619,"LNS13023653","Unemployment Level Job Losers On Layoff","CPS",t,f,f,1692
1620,"LNS14000009","Unemployment Rate - Hispanic or Latino","CPS",t,f,f,1693
1621,"LNS12026619","Multiple Jobholders Level","CPS",t,f,f,1694
1623,"LNS14027660","Unemployment Rate - 25 Years & Over, High School Graduates No College","CPS",t,f,f,1696
1624,"LNS13025699","Unemployment Level Job Losers Not on Layoff","CPS",t,f,f,1697
1625,"LNU02033224","Employment Level, Nonag. Industries, At Work 1-34 Hrs, Usually Work Full time, Bad Weather","CPS",t,f,f,1698
1626,"LNU05026645","Discouraged Workers","CPS",t,f,f,1699
1627,"LNS12000000","Employment Level","CPS",t,f,f,1700
1628,"LNU05026642","Marginally Attached to Labor Force","CPS",t,f,f,1701
1629,"LNS13023569","Unemployment Level New Entrants","CPS",t,f,f,1702
1630,"LNS13000000","Unemployment Level","CPS",t,f,f,1703
1631,"LNS12032194","Persons At Work Part Time for Economic Reasons","CPS",t,f,f,1704
1632,"LNS13008396","Number Unemployed For Less Than 5 weeks","CPS",t,f,f,1705
1633,"LNS14000006","Unemployment Rate - Black or African American","CPS",t,f,f,1706
1634,"LNS14000026","Unemployment Rate - 20 Years & Over Women","CPS",t,f,f,1707
1635,"LNS14000025","Unemployment Rate - 20 Years & Over Men","CPS",t,f,f,1708
1636,"LNS14000000","Unemployment Rate","CPS",t,f,f,1709
1637,"LNS15000000","Not in Labor Force","CPS",t,f,f,1710
1638,"LNS14000003","Unemployment Rate - White","CPS",t,f,f,1711
1640,"LNS13008516","Number Unemployed For 15 Weeks & Over","CPS",t,f,f,1713
1641,"LNS13023621","Unemployment Level Job Losers","CPS",t,f,f,1714
1642,"LNS13008756","Number Unemployed For 5-14 Weeks","CPS",t,f,f,1715
1643,"LNS12500000","Employed, Usually Work Full Time","CPS",t,f,f,1716
1644,"LNS14032183","Unemployment Rate - Asian","CPS",t,f,f,1717
1645,"LNS13008636","Number Unemployed For 27 Weeks & Over","CPS",t,f,f,1718
1647,"LNS11000000","Civilian Labor Force Level","CPS",t,f,f,1720
1648,"LNS14027659","Unemployment Rate - 25 Years & Over, Less than a High School Diploma","CPS",t,f,f,1721
1649,"LNS13023557","Unemployment Level Reentrants To Labor Force","CPS",t,f,f,1722
1650,"LNS13008275","Average Weeks Unemployed","CPS",t,f,f,1723
1651,"LNS13008276","Median Weeks Unemployed","CPS",t,f,f,1724
1652,"CES6500000001","Education and Health Services Employment","CESN",t,f,f,1725
1653,"CES0500000012","Total Private Average Weekly Earnings of All Employees, 1982-1984 Dollars","CESN",t,f,f,1726
1655,"CES0500000016","Total Private Index of Aggregate Weekly Hours of All Employees","CESN",t,f,f,1728
1656,"CES0500000017","Total Private Index of Aggregate Weekly Payrolls of All Employees","CESN",t,f,f,1729
1657,"CES7000000001","Leisure and Hospitality Employment","CESN",t,f,f,1730
1658,"CES4300000001","Transportation and Warehousing Employment","CESN",t,f,f,1731
1659,"CES0600000001","Goods-producing Employment","CESN",t,f,f,1732
1660,"CES4142000001","Wholesale Trade Employment","CESN",t,f,f,1733
1661,"CES5500000001","Financial Activities Employment","CESN",t,f,f,1734
1662,"CES4200000001","Retail Trade Employment","CESN",t,f,f,1735
1663,"CES4000000001","Trade, Transportation, and Utilities Employment","CESN",t,f,f,1736
1664,"CES3100000001","Durable Goods Employment","CESN",t,f,f,1737
1665,"CES3200000001","Nondurable Goods Employment","CESN",t,f,f,1738
1666,"CES3000000016","Manufacturing Indexes of Aggregate Weekly Hours of All Employees","CESN",t,f,f,1739
1667,"CES1000000001","Mining and Logging Employment","CESN",t,f,f,1740
1668,"CES4422000001","Utilities Employment","CESN",t,f,f,1741
1669,"CES0500000003","Total Private Average Hourly Earnings of All Employees","CESN",t,f,f,1742
1670,"CES0500000002","Total Private Average Weekly Hours of All Employees","CESN",t,f,f,1743
1671,"CES0500000001","Total Private Employment","CESN",t,f,f,1744
1673,"CES8000000001","Other Services Employment","CESN",t,f,f,1746
1674,"CES5000000001","Information Employment","CESN",t,f,f,1747
1675,"CES2000000001","Construction Employment","CESN",t,f,f,1748
1676,"CES6000000001","Professional and Business Services Employment","CESN",t,f,f,1749
1677,"CES0000000001","Total Nonfarm Employment","CESN",t,f,f,1750
